RUN	perf.TestSimulation	testsimulation	1676394243974	 	3.0.3
REQUEST	11	open	/webtours/	1676394335684	1676394335724	OK	 
REQUEST	11	open	/cgi-bin/welcome.pl	1676394335724	1676394335787	OK	 
REQUEST	11	open	/cgi-bin/nav.pl	1676394335788	1676394335879	OK	 
GROUP	11	open	1676394335684	1676394335879	194	OK
REQUEST	11	login	/cgi-bin/login.pl	1676394335879	1676394335974	OK	 
REQUEST	11	login	/cgi-bin/nav.pl	1676394335975	1676394336066	OK	 
REQUEST	11	login	/cgi-bin/login.pl	1676394336067	1676394336168	OK	 
GROUP	11	login	1676394335879	1676394336169	287	OK
REQUEST	11	buyTicket	/cgi-bin/welcome.pl	1676394336169	1676394336254	OK	 
REQUEST	11	buyTicket	/cgi-bin/nav.pl	1676394336255	1676394336355	OK	 
REQUEST	11	buyTicket	/cgi-bin/reservations.pl	1676394336356	1676394336462	OK	 
REQUEST	11	buyTicket	/cgi-bin/reservations.pl	1676394336463	1676394336563	OK	 
REQUEST	11	buyTicket	/cgi-bin/reservations.pl	1676394336564	1676394336690	OK	 
REQUEST	11	buyTicket	/cgi-bin/reservations.pl	1676394336691	1676394336792	OK	 
GROUP	11	buyTicket	1676394336169	1676394336793	618	OK
REQUEST	11	itinerary	/cgi-bin/welcome.pl	1676394336793	1676394336880	OK	 
REQUEST	11	itinerary	/cgi-bin/nav.pl	1676394336881	1676394336968	OK	 
REQUEST	11	itinerary	/cgi-bin/itinerary.pl	1676394336969	1676394337094	OK	 
GROUP	11	itinerary	1676394336793	1676394337095	299	OK
REQUEST	11	signOff	/cgi-bin/welcome.pl	1676394337095	1676394337151	OK	 
REQUEST	11	signOff	/cgi-bin/nav.pl	1676394337151	1676394337244	OK	 
REQUEST	11	signOff	/WebTours/home.html	1676394337245	1676394337292	OK	 
GROUP	11	signOff	1676394337095	1676394337292	196	OK
USER	mainScenario	11	END	1676394335684	1676394337292
USER	mainScenario	12	START	1676394344679	1676394344679
REQUEST	12	open	/webtours/	1676394344679	1676394344708	OK	 
REQUEST	12	open	/cgi-bin/welcome.pl	1676394344709	1676394344769	OK	 
REQUEST	12	open	/cgi-bin/nav.pl	1676394344769	1676394344859	OK	 
GROUP	12	open	1676394344679	1676394344860	179	OK
